"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"99999994994","2003-01-01T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1638","","21s","","","29.38","","7.4","0s","1.3s","44s","28","13s","030","20","0.00","","","030","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 2824 HR MAX TEMP TIME (LST):1651 24 HR MIN TEMP (F): 1324 HR MIN TEMP TIME (LST):0105 AVERAGE STATION PRESSURE:29.38  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG): 30 PEAK WIND TIME (LST):1958  FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG): 30 FASTEST 2MIN TIME (LST):2000 AVERAGE WIND SPEED (MPH): 7.4 24 HR AVG TEMP (F):21 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-02T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1639","","25","","","29.37","","7.2","0","5.4","40","31","18","010","17","0.00","","","010","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 3124 HR MAX TEMP TIME (LST):1533 24 HR MIN TEMP (F): 1824 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:29.37  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG): 10 PEAK WIND TIME (LST):1551  FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG): 10 FASTEST 2MIN TIME (LST):1551 AVERAGE WIND SPEED (MPH): 7.2 24 HR AVG TEMP (F):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-03T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1640","","22","","","29.34","","0.9","0","2.6","43","35","8","210","10","0.00","","","220","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 3524 HR MAX TEMP TIME (LST):1501 24 HR MIN TEMP (F):  824 HR MIN TEMP TIME (LST):0813 AVERAGE STATION PRESSURE:29.34  PEAK WIND SPEED (MPH): 10 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):1250  FASTEST 2MIN SPEED (MPH):  8FASTEST 2MIN DIR (DEG):220 FASTEST 2MIN TIME (LST):1259 AVERAGE WIND SPEED (MPH):  .9 24 HR AVG TEMP (F):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-04T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1641","","24","","","29.15","","1.0","0","4.7","41","32","16","190","10","0.05","","","190","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.05 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 3224 HR MAX TEMP TIME (LST):1758 24 HR MIN TEMP (F): 1624 HR MIN TEMP TIME (LST):0440 AVERAGE STATION PRESSURE:29.15  PEAK WIND SPEED (MPH): 10 PEAK WIND DIR (DEG):190 PEAK WIND TIME (LST):0922  FASTEST 2MIN SPEED (MPH):  8FASTEST 2MIN DIR (DEG):190 FASTEST 2MIN TIME (LST):0928 AVERAGE WIND SPEED (MPH): 1.0 24 HR AVG TEMP (F):24 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00   T   .02  .01   T    T   .01  .01  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-05T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1642","","32","","","29.25","","5.0","0","12.8","33","34","30","350","17","0.02","","","360","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.02 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 3424 HR MAX TEMP TIME (LST):2309 24 HR MIN TEMP (F): 3024 HR MIN TEMP TIME (LST):0743 AVERAGE STATION PRESSURE:29.25  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):2303  FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):360 FASTEST 2MIN TIME (LST):2348 AVERAGE WIND SPEED (MPH): 5.0 24 HR AVG TEMP (F):32 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00   T    T   .00   T   .01   T   .00  .00  .01  .00  .00  .00  .00   T    T   .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-06T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1643","","29","","","29.63","","7.2","0","9.9","36","36","22","340","23","0.00s","","","340","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 3624 HR MAX TEMP TIME (LST):1453 24 HR MIN TEMP (F): 2224 HR MIN TEMP TIME (LST):0807 AVERAGE STATION PRESSURE:29.63  PEAK WIND SPEED (MPH): 23 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):0453  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):340 FASTEST 2MIN TIME (LST):0501 AVERAGE WIND SPEED (MPH): 7.2 24 HR AVG TEMP (F):29 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-07T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1644","","40","","","29.15","","11.1","0","21.1","25","52","28","250","20","0.00s","","","230","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 5224 HR MAX TEMP TIME (LST):1635 24 HR MIN TEMP (F): 2824 HR MIN TEMP TIME (LST):0240 AVERAGE STATION PRESSURE:29.15  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):1444  FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):1328 AVERAGE WIND SPEED (MPH):11.1 24 HR AVG TEMP (F):40 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-08T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1645","","43","","","28.81","","10.3","0","24.2","22","56","30","280","35","0.00s","","","290","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD58324 HR PRECIPITATION (IN): 0.00 TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 5624 HR MAX TEMP TIME (LST):1541 24 HR MIN TEMP (F): 3024 HR MIN TEMP TIME (LST):0707 AVERAGE STATION PRESSURE:28.81  PEAK WIND SPEED (MPH): 35 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):2050  FASTEST 2MIN SPEED (MPH): 24FASTEST 2MIN DIR (DEG):290 FASTEST 2MIN TIME (LST):2103 AVERAGE WIND SPEED (MPH):10.3 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-09T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1646","","34","","","28.93","","11.0","0","15.2","31","43","25","300","30","T","","","290","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN):  T   TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 4324 HR MAX TEMP TIME (LST):0008 24 HR MIN TEMP (F): 2524 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:28.93  PEAK WIND SPEED (MPH): 30 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):1121  FASTEST 2MIN SPEED (MPH): 23FASTEST 2MIN DIR (DEG):290 FASTEST 2MIN TIME (LST):1117 AVERAGE WIND SPEED (MPH):11.0 24 HR AVG TEMP (F):34 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00   T    T   .00   T    T   .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2003-01-10T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1647","","17","","","29.28","","11.3","0","-1.7","48","25","9","280","28","T","","","300","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD60524 HR PRECIPITATION (IN):  T   TOTAL SUNSHINE (MINUTES):   0 PERCENT POSSIBLE SUNSHINE:  0 24 HR MAX TEMP (F): 2524 HR MAX TEMP TIME (LST):0042 24 HR MIN TEMP (F):  924 HR MIN TEMP TIME (LST):2359 AVERAGE STATION PRESSURE:29.28  PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG):280 PEAK WIND TIME (LST):1357  FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):0407 AVERAGE WIND SPEED (MPH):11.3 24 HR AVG TEMP (F):17 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00   T    T    T    T   .00  .00   T    T   .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
